6.073	0.968	129.979
6.073	0.968	152.568
14.55	2.703	152.568
15.716	2.919	152.568
25.924	4.815	152.568
33.537	6.3	152.568
44.696	6.3	152.568
70.294	6.3	151.068
94.221	6.3	144.462
117.435	6.3	131.655
136.274	6.3	115.539
151.184	6.3	98.662
162.477	6.3	81.344
170.991	6.3	64.418
177.127	6.3	47.866
181.13	6.3	31.632
183.421	6.3	15.728
184.308	6.3	0
183.398	6.3	-15.724
181.091	6.3	-31.618
177.09	6.3	-47.845
170.943	6.3	-64.377
162.443	6.3	-81.304
151.134	6.3	-98.576
136.199	6.3	-115.333
117.387	6.3	-131.382
94.221	6.3	-144.3
70.373	6.3	-150.572
44.696	6.3	-150.572
32.03	6.171672376	-150.572
25.31	4.876835087	-150.572
15.502	2.986989234	-150.572
6.073	0.968	-150.572
6.073	0.968	-129.813
6.073	0.968	129.979
0	0	0
6.073	-0.968	129.979
6.073	-0.968	152.568
14.55	-2.703	152.568
15.716	-2.919	152.568
25.924	-4.815	152.568
33.537	-6.3	152.568
44.696	-6.3	152.568
70.294	-6.3	151.068
94.221	-6.3	144.462
117.435	-6.3	131.655
136.274	-6.3	115.539
151.184	-6.3	98.662
162.477	-6.3	81.344
170.991	-6.3	64.418
177.127	-6.3	47.866
181.13	-6.3	31.632
183.421	-6.3	15.728
184.308	-6.3	0
183.398	-6.3	-15.724
181.091	-6.3	-31.618
177.09	-6.3	-47.845
170.943	-6.3	-64.377
162.443	-6.3	-81.304
151.134	-6.3	-98.576
136.199	-6.3	-115.333
117.387	-6.3	-131.382
94.221	-6.3	-144.3
70.373	-6.3	-150.572
44.696	-6.3	-150.572
32.03	-6.171672376	-150.572
25.31	-4.876835087	-150.572
15.502	-2.986989234	-150.572
6.073	-0.968	-150.572
6.073	-0.968	-129.813
6.073	-0.968	129.979
0	0	0
21.746	-6.3	106.868
28.548	-6.3	113.669
32.696	-6.3	117.818
32.696	-6.3	119.568
40.696	-6.3	119.568
40.696	-6.3	134.568
50.539	-6.3	134.568
73.282	-6.3	132.205
94.221	-6.3	124.7
113.903	-6.3	111.622
129.44	-6.3	96.764
141.227	-6.3	81.417
150.081	-6.3	66.571
156.56	-6.3	52.309
161.086	-6.3	38.604
164.05	-6.3	25.416
165.74	-6.3	12.611
166.304	-6.3	0
165.74	-6.3	-12.611
164.026	-6.3	-25.407
161.054	-6.3	-38.586
156.512	-6.3	-52.268
150.039	-6.3	-66.521
141.267	-6.3	-81.486
129.397	-6.3	-96.646
113.899	-6.3	-111.602
94.221	-6.3	-124.544
73.297	-6.3	-132.106
50.005	-6.3	-134.432
38.696	-6.3	-134.432
32.696	-6.3	-134.432
32.696	-6.3	-117.682
28.049	-6.3	-113.034
21.746	-6.3	-106.732
21.746	-6.3	106.868
0	0	0
21.746	6.3	106.868
28.548	6.3	113.669
32.696	6.3	117.818
32.696	6.3	119.568
40.696	6.3	119.568
40.696	6.3	134.568
50.539	6.3	134.568
73.282	6.3	132.205
94.221	6.3	124.7
113.903	6.3	111.622
129.44	6.3	96.764
141.227	6.3	81.417
150.081	6.3	66.571
156.56	6.3	52.309
161.086	6.3	38.604
164.05	6.3	25.416
165.74	6.3	12.611
166.304	6.3	0
165.74	6.3	-12.611
164.026	6.3	-25.407
161.054	6.3	-38.586
156.512	6.3	-52.268
150.039	6.3	-66.521
141.267	6.3	-81.486
129.397	6.3	-96.646
113.899	6.3	-111.602
94.221	6.3	-124.544
73.297	6.3	-132.106
50.005	6.3	-134.432
38.696	6.3	-134.432
32.696	6.3	-134.432
32.696	6.3	-117.682
28.049	6.3	-113.034
21.746	6.3	-106.732
21.746	6.3	106.868
